"","gene","Cluster","membership","timepoint","z"
"10129","8620","cluster[genes]~2",0.949028947447727,"d5",0.0806458977952804
"10130","8624","cluster[genes]~4",0.951557068038389,"d5",-1.25530162350898
"10131","863","cluster[genes]~2",0.629655391720427,"d5",0.464077356750612
"10132","8631","cluster[genes]~5",0.995432418608624,"d5",-0.258408838389717
"10133","8632","cluster[genes]~5",0.897348305888652,"d5",0.0528554918046717
"10134","8633","cluster[genes]~2",0.428584967452534,"d5",-1.16823087906069
"10135","8635","cluster[genes]~3",0.999098983140544,"d5",1.0555223997135
"10136","8636","cluster[genes]~6",0.997052376508212,"d5",-0.748767474773048
"10137","8637","cluster[genes]~3",0.998934101438564,"d5",1.01852873902967
"10138","8638","cluster[genes]~6",0.664095352297064,"d5",0.0850567261872877
"10139","8639","cluster[genes]~6",0.913850315353897,"d5",-0.437465937525581
"10140","864","cluster[genes]~3",0.934390241169842,"d5",1.27365107532894
"10141","8642","cluster[genes]~4",0.978897792052778,"d5",-0.907726275585804
"10142","8643","cluster[genes]~3",0.3878626599458,"d5",0.30997008214273
"10143","8644","cluster[genes]~4",0.714144558864591,"d5",-0.883298704583742
"10144","8645","cluster[genes]~5",0.932894112602062,"d5",-1.00062250849733
"10145","8646","cluster[genes]~3",0.999683498861916,"d5",1.05991154920951
"10146","8651","cluster[genes]~6",0.999673566889859,"d5",-0.662227209170947
"10147","8671","cluster[genes]~4",0.99794008953621,"d5",-0.811199865205313
"10148","8676","cluster[genes]~6",0.911928983604687,"d5",-0.0604176170950991
"10149","8677","cluster[genes]~4",0.959913578855967,"d5",-0.967218543943363
"10150","8681","cluster[genes]~1",0.59610411695935,"d5",0.914300455127946
"10151","8682","cluster[genes]~6",0.991303900993299,"d5",-0.836723242085121
"10152","8685","cluster[genes]~5",0.453313214399412,"d5",-0.00590926092897003
"10153","869","cluster[genes]~5",0.999098911448045,"d5",-0.475287225380387
"10154","8693","cluster[genes]~6",0.840410456488632,"d5",-0.944443344662806
"10155","87","cluster[genes]~6",0.999250061876457,"d5",-0.624209905047887
"10156","8701","cluster[genes]~2",0.902574308321881,"d5",0.0502252748170932
"10157","8702","cluster[genes]~3",0.987984463605252,"d5",1.19313333747678
"10158","8707","cluster[genes]~6",0.999837115098361,"d5",-0.571606042523657
"10159","8708","cluster[genes]~3",0.900589202164305,"d5",0.79023962472703
"10160","871","cluster[genes]~6",0.998327568069405,"d5",-0.615004941763437
"10161","8710","cluster[genes]~5",0.997448304749063,"d5",-0.627503223779487
"10162","8714","cluster[genes]~3",0.982845300075944,"d5",1.24603022635713
"10163","8715","cluster[genes]~3",0.926802245519362,"d5",1.32809998528725
"10164","8717","cluster[genes]~6",0.957679280006497,"d5",-0.021434951586091
"10165","8718","cluster[genes]~3",0.997378664214709,"d5",1.22213649288333
"10166","8728","cluster[genes]~6",0.983893710741841,"d5",-0.223629640238869
"10167","8739","cluster[genes]~2",0.800472578005227,"d5",0.530416157392023
"10168","874","cluster[genes]~6",0.999677686313687,"d5",-0.663161781345867
"10169","8741","cluster[genes]~3",0.999125956656425,"d5",1.17308554021268
"10170","8742","cluster[genes]~3",0.998472762354766,"d5",1.05320596947274
"10171","8744","cluster[genes]~4",0.92925222927936,"d5",-1.25616512019413
"10172","8747","cluster[genes]~4",0.936124051610675,"d5",-1.00057695084836
"10173","8748","cluster[genes]~4",0.998520151731035,"d5",-0.845569636230292
"10174","8751","cluster[genes]~6",0.967304061574702,"d5",-0.691593021111757
"10175","8756","cluster[genes]~6",0.764641843416374,"d5",0.157418036695944
"10176","8766","cluster[genes]~6",0.875773972839159,"d5",-1.088406035478
"10177","8771","cluster[genes]~6",0.950255009440714,"d5",0.0178068656489548
"10178","8784","cluster[genes]~3",0.634612853018549,"d5",1.45245174466008
"10179","8785","cluster[genes]~4",0.815617777136444,"d5",-0.756901546257146
"10180","8786","cluster[genes]~2",0.969565311792218,"d5",0.144876570324817
"10181","8787","cluster[genes]~6",0.854319297570361,"d5",-1.11105651530808
"10182","8788","cluster[genes]~3",0.997673101172749,"d5",1.061175073984
"10183","8789","cluster[genes]~2",0.591002134322876,"d5",-1.13085476635676
"10184","8790","cluster[genes]~4",0.781061972795076,"d5",-1.40483454121593
"10185","8792","cluster[genes]~2",0.735145716994019,"d5",0.502201404918065
"10186","8793","cluster[genes]~6",0.997516699394346,"d5",-0.684486875698826
